id	title	lon	lat	geowkt	ccodes
8349999	Warsaw	21.03333333	52.21666667	MULTIPOINT (21.033333333333 52.216666666667)	PL
8350048	Willemstad	-68.93333333	12.11666667	MULTIPOINT (-68.933333333333 12.116666666667)	CW
8350000	Wismar	11.465	53.8925	MULTIPOINT (11.465 53.8925)	DE
8350049	Xochimilco	-99.13888889	19.275	MULTIPOINT (-99.138888888889 19.275)	MX
8349884	Yangsan	129.0386111	35.33861111	MULTIPOINT (129.03861111111 35.338611111111)	KR
8350001	Yaroslavl	39.85	57.61666667	MULTIPOINT (39.85 57.616666666667)	RU
8349885	Yazd	54.36777778	31.89722222	MULTIPOINT (54.367777777778 31.897222222222)	IR
8349886	Yeongju	128.6308333	36.82166667	MULTIPOINT (128.63083333333 36.821666666667)	KR
8349887	Yerevan	44.51444444	40.18138889	MULTIPOINT (44.514444444444 40.181388888889)	AM
8349824	Zabid	43.31666667	14.2	MULTIPOINT (43.316666666667 14.2)	YE
8350050	Zacatecas	-102.5752778	22.77166667	MULTIPOINT (-102.57527777778 22.771666666667)	MX
8350002	Zamość	23.2586	50.7206	MULTIPOINT (23.2586 50.7206)	PL
8349803	Zanzibar City	39.2	-6.166666667	MULTIPOINT (39.2 -6.1666666666667)	TZ
